Property Name,Numerator,Denominator
LNCOMRER,LNCOMRE,ASSET
LNCONRPR,LNCONRP,ASSET
LNCONTRAR,LNCONTRA,ASSET
LNDEPCBFR,LNDEPCBF,ASSET
LNDEPFCFR,LNDEPFCF,ASSET
LNDEPUSFR,LNDEPUSF,ASSET
LNEXAMTR,LNEXAMT,ASSET
LNFGFORR,LNFGFOR,ASSET
LNLSDEPR,LNLSNET,DEP
LNLSFORR,LNLSFOR,ASSET
LNLSGRFR,LNLSGRF,ASSET
LNLSSALER,LNLSSALE,ASSET
LNPLEDGER,LNPLEDGE,ASSET
LNMUNIFR,LNMUNIF,ASSET
LNOT1T3R,LNOT1T3,ASSET
LNOT3LESR,LNOT3LES,ASSET
LNOT3T5R,LNOT3T5,ASSET
LNOT3T12R,LNOT3T12,ASSET
LNOT5T15R,LNOT5T15,ASSET
LNOTHERFR,LNOTHERF,ASSET
LNOTOV15R,LNOTOV15,ASSET
LNREAG1R,LNREAG1,ASSET
LNREAG2R,LNREAG2,ASSET
LNREAG3R,LNREAG3,ASSET
LNREAG4R,LNREAG4,ASSET
LNREAG1NR,LNREAG1N,ASSET
LNREAG2NR,LNREAG2N,ASSET
LNREAG3NR,LNREAG3N,ASSET
LNREAG4NR,LNREAG4N,ASSET
LNRECNFMR,LNRECNFM,ASSET
LNRECNOTR,LNRECNOT,ASSET
LNRENR1R,LNRENR1,ASSET
LNRENR2R,LNRENR2,ASSET
LNRENR3R,LNRENR3,ASSET
LNRENR4R,LNRENR4,ASSET
LNRENR1NR,LNRENR1N,ASSET
LNRENR2NR,LNRENR2N,ASSET
LNRENR3NR,LNRENR3N,ASSET
LNRENR4NR,LNRENR4N,ASSET
LNRENROTR,LNRENROT,ASSET
LNRENROWR,LNRENROW,ASSET
LNRENUSR,LNRENUS,ASSET
LNRERSF1R,LNRERSF1,ASSET
LNRERSF2R,LNRERSF2,ASSET
LNRERSFMR,LNRERSFM,ASSET
LNRESNCR,LNATRESJ,NCLNLS
LNRS1T3R,LNRS1T3,ASSET
LNRS3LESR,LNRS3LES,ASSET
LNRS3T5R,LNRS3T5,ASSET
LNRS3T12R,LNRS3T12,ASSET
LNRS5T15R,LNRS5T15,ASSET
LNRSOV15R,LNRSOV15,ASSET
LNSERVR,LNSERV,ASSET
LOCCOMR,LOCCOM,ASSET
LOCFPSBR,LOCFPSB,ASSET
LOCFPSBKR,LOCFPSBK,ASSET
LOCFSBR,LOCFSB,ASSET
LOCFSBKR,LOCFSBK,ASSET
LOCPSBR,LOCPSB,ASSET
LOCPSBKR,LOCPSBK,ASSET
LOREGTYR,LOREGTY,ASSET
LOTHR,LOTH,ASSET
LREAGR,LREAG,ASSET
LRECONSR,LRECONS,ASSET
LREMULTR,LREMULT,ASSET
LRENRESR,LRENRES,ASSET
LRERESR,LRERES,ASSET
LSALNLSR,LSALNLS,ASSET
LSAOAR,LSAOA,ASSET
LSAORER,LSAORE,ASSET
LSASCDBTR,LSASCDBT,ASSET
LSFORR,LSFOR,ASSET
MSRECER,MSRECE,ASSET
MSRESFCLR,MSRESFCL,ASSET
MSRNRECER,MSRNRECE,ASSET
NAAGR,NAAG,ASSET
NAAGSMR,NAAGSM,ASSET
NAASSETR,NAASSET,ASSET
NAAUTOR,NAAUTO,ASSET
NACIR,NACI,ASSET
NACINUSR,NACINUS,ASSET
NACONR,NACON,ASSET
NACONOTHR,NACONOTH,ASSET
NACRCDR,NACRCD,ASSET
NADEPR,NADEP,ASSET
NADEPNUSR,NADEPNUS,ASSET
NAFGR,NAFG,ASSET
NAGTYR,NAGTY,ASSET
NAGTYGNMR,NAGTYGNM,ASSET
NAGTYPARR,NAGTYPAR,ASSET
NALAGR,NALAG,ASSET
NALCIR,NALCI,ASSET
NALCONR,NALCON,ASSET
NALGTYR,NALGTY,ASSET
NALNSALER,NALNSALE,ASSET
NALOTHR,NALOTH,ASSET
NALREAGR,NALREAG,ASSET
NALRECONR,NALRECON,ASSET
NALREMULR,NALREMUL,ASSET
NALRENRSR,NALRENRS,ASSET
NALRERESR,NALRERES,ASSET
NALSR,NALS,ASSET
NALTOTR,NALTOT,ASSET
NAOTHLNR,NAOTHLN,ASSET
NARER,NARE,ASSET
NAREAGR,NAREAG,ASSET
NARECNFMR,NARECNFM,ASSET
NARECNOTR,NARECNOT,ASSET
NARECONSR,NARECONS,ASSET
NAREFORR,NAREFOR,ASSET
NARELOCR,NARELOC,ASSET
NAREMULTR,NAREMULT,ASSET
NARENRESR,NARENRES,ASSET
NARENROTR,NARENROT,ASSET
NARENROWR,NARENROW,ASSET
NARENUSR,NARENUS,ASSET
NARERESR,NARERES,ASSET
NARERSF2R,NARERSF2,ASSET
NARERSFMR,NARERSFM,ASSET
NARSLNFMR,NARSLNFM,ASSET
NARSLNLSR,NARSLNLS,ASSET
NARSLNLTR,NARSLNLT,ASSET
NASCDEBTR,NASCDEBT,ASSET
NCCOMRER,NCCOMRE,LNCOMRE
NCLNLSR,NCLNLS,LNLSGRJ
NCRECONR,NCRECONS,LNRECONS
NCRELOCR,NCRELOC,LNRELOC
NCREMULR,NCREMULT,LNREMULT
NCRENRER,NCRENRES,LNRENRES
NCRER,NCRE,LNREJ
NCRERESR,NCRERES,LNRERES
NIMY,NIMA,ERNAST5
NOIJY,NOIJA,ASSET5
NONIXAY,NONIXA,ASSET5
NPERFV,NPERF,ASSET
NTCOMRER,NTCOMREA,LNCOMRE5
